agent_id,timestep,x,y,variance,replanned
0,0,1.1981,13.9725,0.2000,0
0,1,1.3962,13.9450,0.2000,0
0,2,1.4952,13.9312,0.2000,0
0,3,1.5040,13.7314,0.2000,0
0,4,1.7038,13.7213,0.2000,1
0,5,1.9035,13.7112,0.2000,0
0,6,2.0034,13.7061,0.2000,0
0,7,2.1669,13.8212,0.2000,0
0,8,2.3305,13.9364,0.2000,0
0,9,2.4122,13.9939,0.2000,0
0,10,2.6054,14.0457,0.2000,0
0,11,2.7986,14.0975,0.2000,0
0,12,2.8952,14.1233,0.2000,0
0,13,3.0933,14.1506,0.2000,0
0,14,3.2915,14.1779,0.2000,0
0,15,3.3905,14.1915,0.2000,0
0,16,3.5796,14.1264,0.2000,0
0,17,3.7687,14.0612,0.2000,0
0,18,3.8633,14.0287,0.2000,0
0,19,3.9960,13.8791,0.2000,0
0,20,4.1288,13.7296,0.2000,0
0,21,4.1952,13.6548,0.2000,0
0,22,4.3356,13.5123,0.2000,0
0,23,4.4759,13.3698,0.2000,0
0,24,4.5461,13.2985,0.2000,0
0,25,4.7029,13.1744,0.2000,0
0,26,4.8597,13.0502,0.2000,0
0,27,4.9381,12.9881,0.2000,0
0,28,5.1087,12.8838,0.2000,0
0,29,5.2793,12.7794,0.2000,0
0,30,5.4260,12.6435,0.2000,1
0,31,5.5796,12.7716,0.2000,1
0,32,5.7269,12.6363,0.2000,1
0,33,5.9238,12.6713,0.2000,1
0,34,6.0376,12.5068,0.2000,1
0,35,6.1514,12.3424,0.2000,0
0,36,6.2083,12.2601,0.2000,0
0,37,6.3751,12.1497,0.2000,1
0,38,6.5419,12.0394,0.2000,0
0,39,6.6253,11.9842,0.2000,0
0,40,6.7667,11.8428,0.2000,0
0,41,6.9082,11.7015,0.2000,0
0,42,6.9790,11.6308,0.2000,0
0,43,7.1721,11.6829,0.2000,0
0,44,7.3652,11.7349,0.2000,0
0,45,7.4617,11.7610,0.2000,0
0,46,7.5566,11.5849,0.2000,0
0,47,7.6515,11.4089,0.2000,0
0,48,7.6990,11.3209,0.2000,0
0,49,7.8519,11.1920,0.2000,0
0,50,8.0048,11.0631,0.2000,0
0,51,8.0813,10.9986,0.2000,0
0,52,8.0067,10.8130,0.2000,0
0,53,7.9321,10.6275,0.2000,0
0,54,7.8948,10.5347,0.2000,0
0,55,8.0203,10.3790,0.2000,0
0,56,8.1459,10.2233,0.2000,0
0,57,8.2087,10.1454,0.2000,0
0,58,8.2596,9.9520,0.2000,0
0,59,8.3105,9.7586,0.2000,0
0,60,8.3359,9.6619,0.2000,0
0,61,8.4582,9.5037,0.2000,0
0,62,8.5805,9.3454,0.2000,0
0,63,8.6417,9.2663,0.2000,0
0,64,8.8340,9.3213,0.2000,0
0,65,9.0263,9.3763,0.2000,0
0,66,9.1224,9.4038,0.2000,0
0,67,9.2775,9.2775,0.2000,0
0,68,9.4326,9.1513,0.2000,0
0,69,9.5102,9.0881,0.2000,0
0,70,9.7041,9.0393,0.2000,0
0,71,9.8980,8.9904,0.2000,0
0,72,9.9950,8.9660,0.2000,0
0,73,10.0977,8.7944,0.2000,0
0,74,10.2004,8.6228,0.2000,0
0,75,10.2518,8.5370,0.2000,0
0,76,10.3036,8.3438,0.2000,0
0,77,10.3555,8.1506,0.2000,0
0,78,10.3814,8.0540,0.2000,0
0,79,10.5668,7.9791,0.2000,0
0,80,10.7522,7.9041,0.2000,0
0,81,10.8449,7.8666,0.2000,0
0,82,11.0056,7.7475,0.2000,0
0,83,11.1662,7.6283,0.2000,0
0,84,11.2465,7.5688,0.2000,0
0,85,11.2596,7.3692,0.2000,0
0,86,11.2727,7.1696,0.2000,0
0,87,11.2792,7.0698,0.2000,0
0,88,11.3610,6.8873,0.2000,0
0,89,11.4428,6.7048,0.2000,0
0,90,11.4838,6.6136,0.2000,0
0,91,11.5141,6.4159,0.2000,0
0,92,11.5445,6.2182,0.2000,0
0,93,11.5597,6.1194,0.2000,0
0,94,11.6636,5.9485,0.2000,0
0,95,11.7675,5.7776,0.2000,0
0,96,11.8195,5.6922,0.2000,0
0,97,11.9026,5.5103,0.2000,0
0,98,11.9857,5.3283,0.2000,0
0,99,12.0273,5.2374,0.2000,0
0,100,11.9989,5.0394,0.2000,0
0,101,11.9706,4.8414,0.2000,0
0,102,11.9564,4.7424,0.2000,0
0,103,12.0024,4.5478,0.2000,0
0,104,12.0485,4.3532,0.2000,0
