agent_id,timestep,x,y,variance,replanned
0,0,1.1944,13.9531,0.2000,0
0,1,1.3881,13.9031,0.2000,1
0,2,1.5817,13.8531,0.2000,0
0,3,1.6145,13.8446,0.2000,0
0,4,1.8081,13.7946,0.2000,0
0,5,2.0018,13.7446,0.2000,0
0,6,2.0346,13.7362,0.2000,0
0,7,2.2282,13.6862,0.2000,0
0,8,2.4219,13.6362,0.2000,0
0,9,2.4546,13.6277,0.2000,0
0,10,2.6483,13.5777,0.2000,0
0,11,2.8419,13.5277,0.2000,0
0,12,2.8747,13.5193,0.2000,0
0,13,3.0684,13.4693,0.2000,0
0,14,3.2609,13.4151,0.2000,1
0,15,3.4554,13.3686,0.2000,1
0,16,3.6499,13.3222,0.2000,0
0,17,3.6971,13.3109,0.2000,0
0,18,3.8916,13.2645,0.2000,0
0,19,4.0862,13.2180,0.2000,0
0,20,4.1333,13.2068,0.2000,0
0,21,4.3278,13.1603,0.2000,0
0,22,4.5224,13.1139,0.2000,0
0,23,4.5695,13.1026,0.2000,0
0,24,4.7641,13.0562,0.2000,0
0,25,4.9586,13.0097,0.2000,0
0,26,5.0057,12.9985,0.2000,0
0,27,5.2003,12.9520,0.2000,0
0,28,5.3948,12.9056,0.2000,0
0,29,5.5635,12.7982,0.2000,1
0,30,5.7323,12.6908,0.2000,0
0,31,5.7829,12.6586,0.2000,0
0,32,5.9516,12.5512,0.2000,0
0,33,6.1203,12.4438,0.2000,0
0,34,6.1709,12.4116,0.2000,0
0,35,6.3397,12.3042,0.2000,0
0,36,6.5084,12.1968,0.2000,0
0,37,6.5590,12.1646,0.2000,0
0,38,6.7277,12.0572,0.2000,0
0,39,6.8965,11.9498,0.2000,0
0,40,6.9471,11.9176,0.2000,0
0,41,7.1158,11.8102,0.2000,0
0,42,7.2845,11.7029,0.2000,0
0,43,7.3351,11.6706,0.2000,0
0,44,7.5039,11.5633,0.2000,0
0,45,7.6726,11.4559,0.2000,0
0,46,7.7232,11.4237,0.2000,0
0,47,7.8264,11.2523,0.2000,0
0,48,7.9295,11.0810,0.2000,0
0,49,7.9474,11.0514,0.2000,0
0,50,8.0505,10.8801,0.2000,0
0,51,8.1537,10.7087,0.2000,0
0,52,8.2569,10.5374,0.2000,1
0,53,8.3601,10.3661,0.2000,0
0,54,8.3786,10.3353,0.2000,0
0,55,8.4817,10.1640,0.2000,0
0,56,8.5849,9.9926,0.2000,0
0,57,8.6034,9.9619,0.2000,0
0,58,8.7066,9.7906,0.2000,0
0,59,8.8098,9.6192,0.2000,0
0,60,8.8283,9.5885,0.2000,0
0,61,8.9315,9.4172,0.2000,0
0,62,9.0346,9.2458,0.2000,0
0,63,9.0531,9.2151,0.2000,0
0,64,9.1563,9.0437,0.2000,0
0,65,9.2595,8.8724,0.2000,1
0,66,9.3627,8.7011,0.2000,0
0,67,9.4658,8.5297,0.2000,1
0,68,9.5690,8.3584,0.2000,0
0,69,9.5945,8.3160,0.2000,0
0,70,9.6977,8.1447,0.2000,0
0,71,9.8009,7.9733,0.2000,0
0,72,9.8264,7.9310,0.2000,0
0,73,9.9296,7.7596,0.2000,0
0,74,10.0327,7.5883,0.2000,0
0,75,10.0583,7.5459,0.2000,0
0,76,10.1614,7.3746,0.2000,0
0,77,10.2646,7.2032,0.2000,0
0,78,10.2901,7.1609,0.2000,0
0,79,10.3933,6.9895,0.2000,0
0,80,10.4965,6.8182,0.2000,0
0,81,10.5220,6.7758,0.2000,0
0,82,10.6252,6.6045,0.2000,0
0,83,10.7283,6.4331,0.2000,1
0,84,10.8315,6.2618,0.2000,0
0,85,10.8662,6.2041,0.2000,0
0,86,10.9694,6.0328,0.2000,0
0,87,11.0726,5.8615,0.2000,0
0,88,11.1073,5.8038,0.2000,0
0,89,11.2105,5.6325,0.2000,0
0,90,11.3136,5.4612,0.2000,0
0,91,11.3483,5.4035,0.2000,0
0,92,11.4515,5.2322,0.2000,0
0,93,11.5547,5.0608,0.2000,0
0,94,11.5894,5.0032,0.2000,0
0,95,11.6926,4.8319,0.2000,0
0,96,11.7957,4.6605,0.2000,0
0,97,11.8305,4.6029,0.2000,0
0,98,11.9336,4.4315,0.2000,0
0,99,12.0368,4.2602,0.2000,0
0,100,12.0715,4.2026,0.2000,0
0,101,12.1747,4.0312,0.2000,0
0,102,12.2779,3.8599,0.2000,0
0,103,12.3126,3.8022,0.2000,0
0,104,12.4158,3.6309,0.2000,0
0,105,12.5189,3.4596,0.2000,0
0,106,12.5536,3.4019,0.2000,0
0,107,12.6568,3.2306,0.2000,0
0,108,12.7600,3.0592,0.2000,0
0,109,12.7947,3.0016,0.2000,0
0,110,12.8979,2.8303,0.2000,0
0,111,13.0010,2.6589,0.2000,0
0,112,13.0358,2.6013,0.2000,0
0,113,13.1389,2.4299,0.2000,0
0,114,13.2421,2.2586,0.2000,0
0,115,13.3453,2.0873,0.2000,1
0,116,13.4484,1.9159,0.2000,0
0,117,13.4947,1.8391,0.2000,0
0,118,13.5979,1.6677,0.2000,0
0,119,13.7011,1.4964,0.2000,0
0,120,14.0000,1.0000,0.2000,0
1,0,13.8000,1.0027,0.2000,0
1,1,13.6000,1.0054,0.2000,0
1,2,13.4001,1.0104,0.2000,1
1,3,13.2002,1.0155,0.2000,0
